2016-02-15T19:33:30.962+0800: 4207.676: [GC [PSYoungGen: 1371783K->13424K(1378304K)] 1507380K->149231K(4174528K), 0.0253340 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T19:34:27.138+0800: 4263.852: [GC [PSYoungGen: 1371888K->16368K(1378240K)] 1507695K->152335K(4174464K), 0.0300190 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T19:35:20.084+0800: 4316.799: [GC [PSYoungGen: 1374832K->17184K(1377984K)] 1510799K->153591K(4174208K), 0.0295790 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T19:36:16.343+0800: 4373.057: [GC [PSYoungGen: 1375456K->15856K(1378176K)] 1511863K->152440K(4174400K), 0.0309890 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:37:08.380+0800: 4425.094: [GC [PSYoungGen: 1374128K->14752K(1378752K)] 1510712K->151519K(4174976K), 0.0254250 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T19:37:59.077+0800: 4475.791: [GC [PSYoungGen: 1373920K->16883K(1378496K)] 1510687K->154001K(4174720K), 0.0299650 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:38:51.906+0800: 4528.620: [GC [PSYoungGen: 1376051K->19424K(1375040K)] 1513169K->158618K(4171264K), 0.0348790 secs] [Times: user=0.05 sys=0.01, real=0.04 secs] 
2016-02-15T19:39:44.775+0800: 4581.489: [GC [PSYoungGen: 1375008K->14878K(1376832K)] 1514202K->154564K(4173056K), 0.0271660 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:40:35.888+0800: 4632.603: [GC [PSYoungGen: 1370462K->13840K(1377216K)] 1510148K->154079K(4173440K), 0.0255640 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T19:41:32.336+0800: 4689.050: [GC [PSYoungGen: 1370064K->17184K(1377088K)] 1510303K->157720K(4173312K), 0.0327600 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:42:27.907+0800: 4744.621: [GC [PSYoungGen: 1373408K->14704K(1377472K)] 1513944K->155668K(4173696K), 0.0263480 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
